Date,DateTime,Create,Relax,Love,Befriend,Health,Happiness,Tags,Latitude,Longitude
12/17/2013,"12/17/2013 9:35:44 pm",9,7,7,7,4,6,"harry-potter code freelance aeon-wave job-pondering",38.8811476864853,-77.2728254652306
12/18/2013,"12/18/2013 10:03:44 pm",8,3,8,9,2,7,"dnd code aeonwave relations raise ",38.88134314,-77.27269719
